"time","depth"
"0.0001","0.07"
"0.9129","0.17"
"1.033","0.26"
"1.0855","0.5"
"1.141","0.62"
"1.3002","0.67"
"1.3556","1.08"
"1.409","2.02"
"1.4638","3.67"
"1.5165","6.33"
"1.57","6.36"
"1.6767","3.55"
"1.7294","1.63"
"1.7829","0.24"
"1.8356","0.07"
"2.0128","1.14"
"2.066","3.36"
"2.1218","6.36"
"2.2313","3.8"
"2.2841","1.71"
"2.3378","0.76"
"2.3909","0.07"
"2.5552","0.24"
"2.6083","1.79"
"2.6649","4.53"
"2.7177","6.36"
"2.7969","6.25"
"2.8506","3.62"
"2.9051","2.17"
"2.958","1.06"
"3.0141","0.07"
"3.1766","0.69"
"3.2326","2.14"
"3.2858","4.96"
"3.3397","6.37"
"3.4472","4.53"
"3.5009","2.73"
"3.5551","1.56"
"3.6082","0.23"
"3.6831","0.07"
"3.7903","0.27"
"3.8434","1.34"
"3.9042","3.79"
"3.9581","6.36"
"4.0749","4.43"
"4.1291","1.71"
"4.1878","0.36"
"4.249","0.07"
"4.3626","0.2"
"4.4158","1.52"
"4.4755","3.6"
"4.5285","4.78"
"4.6108","4.64"
"4.6648","2.73"
"4.7219","1"
"4.7751","0.07"
"4.8844","0.16"
"4.9404","1.8"
"4.994","4.86"
"5.0489","6.36"
"5.1589","4.3"
"5.2123","1.74"
"5.2687","0.12"
"5.3461","0.07"
"5.4092","0.79"
"5.4797","2.16"
"5.5381","4.9"
"5.5927","6.36"
"5.7045","6.07"
"5.7609","2.78"
"5.8147","1.31"
"5.8692","0.07"
"5.9797","0.14"
"6.0335","1.4"
"6.088","2.88"
"6.1434","6.37"
"6.3106","2.43"
"6.3812","0.9"
"6.4387","0.07"
"6.606","1.36"
"6.6603","3.19"
"6.7154","6.36"
"6.8262","6.31"
"6.8877","2.52"
"6.941","0.95"
"7.002","0.07"
"7.224","1.74"
"7.2986","6.36"
"7.4617","3.57"
"7.5159","1.63"
"7.5702","0.63"
"7.6239","0.07"
"7.735","0.5"
"7.7898","2.33"
"7.8431","6.03"
"7.8976","6.36"
"8.0059","4.01"
"8.0596","1.77"
"8.1167","0.07"
"8.2983","0.59"
"8.3596","2.3"
"8.4132","6.22"
"8.4715","6.36"
"8.5876","2.81"
"8.6416","1.14"
"8.704","0.07"
"8.8719","1.16"
"8.9407","2.43"
"8.9992","6.36"
"9.1384","6.22"
"9.1982","2.55"
"9.2518","1.26"
"9.3062","0.07"
"9.472","0.31"
"9.5308","1.89"
"9.5841","4.68"
"9.6463","6.36"
"9.7743","3.58"
"9.8278","1.78"
"9.8894","0.07"
"10.0853","1.19"
"10.1458","4.55"
"10.2039","6.36"
"10.3168","3.82"
"10.3695","1.77"
"10.422","0.59"
"10.4745","0.07"
"10.6323","0.7"
"10.6853","2.15"
"10.7382","6.36"
"10.8574","5.59"
"10.9163","2.59"
"10.9698","1.1"
"11.0423","0.07"
"11.2104","0.93"
"11.2697","3.04"
"11.323","6.36"
"11.5004","3.11"
"11.5538","1.48"
"11.6133","0.4"
"11.6668","0.07"
"11.8024","0.48"
"11.8586","2.3"
"11.9126","6.33"
"11.9692","6.36"
"12.0229","6.32"
"12.0792","2.75"
"12.1325","1.27"
"12.1878","0.07"
"12.3524","0.7"
"12.42","3.1"
"12.4735","6.36"
"12.5815","5.26"
"12.6577","2.26"
"12.714","0.92"
"12.7703","0.07"
"12.9332","0.68"
"12.9893","2.54"
"13.0427","6.36"
"13.2112","4.13"
"13.2647","1.94"
"13.3211","0.85"
"13.3744","0.07"
"13.4844","0.13"
"13.5634","1.73"
"13.6168","6.36"
"13.7938","4.25"
"13.8538","1.92"
"13.9316","0.32"
"13.9853","0.07"
"14.1561","1.67"
"14.2098","5.97"
"14.2645","6.36"
"14.3767","4.79"
"14.4507","2.28"
"14.5089","0.98"
"14.5622","0.07"
"14.6718","0.11"
"14.7356","1.52"
"14.7895","4.92"
"14.8537","6.36"
"14.9712","4.49"
"15.0247","1.99"
"15.087","0.82"
"15.1402","0.07"
"15.3458","1.34"
"15.3993","3.62"
"15.4563","6.36"
"15.5675","5.69"
"15.6215","2.58"
"15.6758","1.31"
"15.7293","0.07"
"15.8981","0.59"
"15.952","2.47"
"16.0138","6.36"
"16.2085","3.08"
"16.263","1.63"
"16.3167","0.45"
"16.3743","0.07"
"16.4875","0.26"
"16.5412","2"
"16.5956","6.36"
"16.7578","4.27"
"16.8121","1.88"
"16.8665","0.43"
"16.9226","0.07"
"17.0378","1.07"
"17.1074","3.12"
"17.1634","6.36"
"17.3333","2.93"
"17.3956","1.24"
"17.4491","0.07"
"17.6279","0.93"
"17.6813","3.94"
"17.742","6.36"
"17.9127","2.26"
"17.9938","0.97"
"18.0487","0.07"
"18.2122","0.79"
"18.2658","2.99"
"18.3227","6.36"
"18.4331","6.27"
"18.4893","2.52"
"18.5457","0.89"
"18.599","0.07"
"18.7654","1.22"
"18.8191","6.36"
"18.9747","6.27"
"19.0379","2.66"
"19.0914","1.16"
"19.1524","0.07"
"19.3171","1.05"
"19.3712","3.62"
"19.4253","6.36"
"19.5931","3.4"
"19.6468","1.54"
"19.7011","0.07"
"19.9407","1.61"
"19.994","6.36"
"20.1671","5.03"
"20.2204","2.16"
"20.2822","0.8"
"20.3355","0.07"
"20.4519","1.06"
"20.5158","4.9"
"20.5691","6.36"
"20.7051","3.44"
"20.7595","1.62"
"20.8133","0.08"
"20.9796","0.54"
"21.033","2.73"
"21.0888","6.36"
"21.2517","3.08"
"21.3099","1.25"
"21.3637","0.07"
"21.5404","0.61"
"21.6154","3.01"
"21.6696","6.36"
"21.7803","5.48"
"21.8337","2.47"
"21.8881","1.12"
"21.9414","0.07"
"22.1034","0.52"
"22.1576","2.19"
"22.2221","6.36"
"22.3863","2.92"
"22.4424","0.59"
"22.5307","0.07"
"22.6399","0.94"
"22.7009","3.26"
"22.7545","6.36"
"22.8691","5.96"
"22.9309","2.57"
"22.9844","0.92"
"23.0464","0.07"
"23.1614","0.21"
"23.2147","2.01"
"23.2763","6.36"
"23.4118","5.57"
"23.4657","2.2"
"23.5227","0.76"
"23.576","0.07"
"23.7414","0.95"
"23.795","3.62"
"23.8527","6.36"
"23.9683","4.21"
"24.0285","1.76"
"24.0867","0.07"
"24.2509","1.64"
"24.3358","5.85"
"24.3895","6.36"
"24.5151","2.41"
"24.572","0.88"
"24.6255","0.07"
"24.7884","0.37"
"24.8418","1.83"
"24.8962","6.36"
"25.0607","3.29"
"25.1149","1.52"
"25.1685","0.07"
"25.3592","1.27"
"25.4135","4.7"
"25.4699","6.36"
"25.585","4.44"
"25.6384","1.71"
"25.7","0.07"
"25.8687","0.51"
"25.9298","2.33"
"25.9833","6.36"
"26.1257","3.48"
"26.182","1.36"
"26.2353","0.07"
"26.3981","0.29"
"26.4518","1.71"
"26.508","5.99"
"26.5614","6.36"
"26.6743","2.61"
"26.7288","1.14"
"26.7828","0.07"
"26.9525","0.94"
"27.0265","3.86"
"27.0828","6.36"
"27.198","3.5"
"27.2514","1.37"
"27.3145","0.07"
"27.4834","0.46"
"27.5445","2.15"
"27.5981","6.36"
"27.7133","4.32"
"27.775","1.87"
"27.8287","0.07"
"28.0517","1.46"
"28.1072","5.44"
"28.165","6.36"
"28.2829","3.81"
"28.3356","1.83"
"28.3877","0.51"
"28.4402","0.07"
"28.5972","1.54"
"28.6497","5.39"
"28.7019","6.35"
"28.8164","3.56"
"28.8693","1.54"
"28.9243","0.07"
"29.0849","0.48"
"29.1373","2.46"
"29.1904","6.35"
"29.3515","3.36"
"29.4074","1.39"
"29.4597","0.07"
"29.6337","1.62"
"29.7071","6.31"
"29.7617","6.36"
"29.8699","3.1"
"29.9234","1.31"
"29.9836","0.07"
"30.1518","1.14"
"30.2065","4.42"
"30.2598","6.36"
"30.3677","4.4"
"30.4294","1.99"
"30.4837","0.57"
"30.5486","0.07"
"30.707","1.71"
"30.7609","5.8"
"30.8171","6.36"
"30.9256","3.54"
"30.9795","1.42"
"31.034","0.07"
"31.2036","1.97"
"31.265","6.37"
"31.4335","2.12"
"31.5211","0.62"
"31.5749","0.07"
"31.7409","1.86"
"31.7942","6.36"
"31.9597","4.53"
"32.0134","1.93"
"32.0694","0.33"
"32.1226","0.07"
"32.2302","0.26"
"32.2919","2.44"
"32.345","6.36"
"32.4832","4.6"
"32.5404","1.87"
"32.5937","0.39"
"32.6513","0.07"
"32.8195","1.67"
"32.881","5.6"
"32.9345","6.36"
"33.0496","3.07"
"33.1111","1.22"
"33.165","0.07"
"33.2986","0.13"
"33.3546","1.94"
"33.4078","6.36"
"33.5698","3.36"
"33.6233","1.35"
"33.6778","0.07"
"33.8417","0.67"
"33.8965","2.75"
"33.958","6.36"
"34.1341","2.4"
"34.208","0.76"
"34.2633","0.07"
"34.3712","0.46"
"34.4253","2.75"
"34.4815","6.36"
"34.5893","5.5"
"34.6428","2.05"
"34.6972","0.58"
"34.7507","0.07"
"34.8588","0.21"
"34.9135","2.13"
"34.9682","6.36"
"35.0988","6.03"
"35.1539","2.72"
"35.2083","1.04"
"35.2707","0.07"
"35.4323","1.26"
"35.4924","5.72"
"35.5457","6.36"
"35.6615","4.13"
"35.7294","1.39"
"35.7826","0.07"
"35.9551","1.68"
"36.03","6.36"
"36.1407","6.31"
"36.1969","2.44"
"36.2506","0.83"
"36.3075","0.07"
"36.4701","1.41"
"36.5245","5.61"
"36.5778","6.36"
"36.6942","3.04"
"36.7509","0.94"
"36.804","0.07"
"36.9394","0.37"
"36.9937","2.45"
"37.0475","6.36"
"37.1629","5.57"
"37.23","2.28"
"37.2836","0.55"
"37.3467","0.07"
"37.5166","2.08"
"37.578","6.36"
"37.6927","5.09"
"37.7462","1.39"
"37.8331","0.07"
"37.9942","0.88"
"38.0484","3.71"
"38.1023","6.36"
"38.2131","4.34"
"38.2674","2.01"
"38.3212","0.58"
"38.3777","0.07"
"38.5409","1.43"
"38.5951","4.22"
"38.6485","6.36"
"38.741","6.27"
"38.7946","2.67"
"38.851","0.98"
"38.9134","0.07"
"39.0836","1.6"
"39.1417","6.36"
"39.2689","5.85"
"39.3235","2.27"
"39.3769","0.7"
"39.4312","0.07"
"39.5435","0.92"
"39.6207","4.27"
"39.6825","6.36"
"39.7907","4.45"
"39.845","1.55"
"39.8994","0.07"
"40.062","0.71"
"40.1181","2.86"
"40.1769","6.36"
"40.2865","5.46"
"40.3472","2.13"
"40.4015","0.56"
"40.461","0.07"
"40.5867","1.06"
"40.6401","3.19"
"40.701","6.36"
"40.8115","5.53"
"40.865","2.29"
"40.9199","0.89"
"40.9794","0.07"
"41.0954","0.43"
"41.1533","2.48"
"41.2065","6.36"
"41.3217","5.08"
"41.3826","1.61"
"41.4563","0.07"
"41.6204","0.84"
"41.679","3.34"
"41.7335","6.36"
"41.8427","6.28"
"41.8968","2.7"
"41.9511","1.21"
"42.0047","0.07"
"42.1733","0.96"
"42.2295","5.53"
"42.2939","6.36"
"42.4175","3.21"
"42.4715","1.12"
"42.5348","0.07"
"42.704","1.6"
"42.7667","6.36"
"42.9295","3.8"
"42.984","1.57"
"43.0375","0.07"
"43.2065","1.21"
"43.2753","4.95"
"43.3296","6.36"
"43.4401","5.75"
"43.4935","2.47"
"43.5497","1.06"
"43.603","0.07"
"43.7685","1.05"
"43.8219","4.53"
"43.8762","6.36"
"43.9959","4.19"
"44.0504","1.93"
"44.1046","0.17"
"44.1804","0.07"
"44.2901","1.06"
"44.3506","3.96"
"44.4038","6.36"
"44.5189","4.24"
"44.5813","1.66"
"44.6375","0.07"
"44.8046","0.63"
"44.8585","3.18"
"44.9223","6.36"
"45.0597","4.56"
"45.1133","1.82"
"45.1679","0.48"
"45.2215","0.07"
"45.3864","1.45"
"45.4402","5.78"
"45.495","6.36"
"45.6045","3.6"
"45.6583","1.54"
"45.7127","0.07"
"45.8761","1.08"
"45.9631","5.74"
"46.0166","6.36"
"46.1338","4.22"
"46.1966","1.93"
"46.2498","0.46"
"46.312","0.07"
"46.4273","0.38"
"46.4811","3"
"46.5445","6.36"
"46.6595","6.29"
"46.7137","2.21"
"46.7839","0.58"
"46.8543","0.07"
"46.9649","0.43"
"47.0192","1.9"
"47.0731","6.27"
"47.1301","6.36"
"47.2379","5.56"
"47.2918","2.25"
"47.3482","0.92"
"47.4017","0.07"
"47.5127","0.59"
"47.5741","3.29"
"47.6276","6.36"
"47.7596","4.91"
"47.8142","2.36"
"47.8679","1.02"
"47.9229","0.07"
"48.0857","1.34"
"48.1418","6.29"
"48.1953","6.36"
"48.3032","4.42"
"48.3608","1.83"
"48.4142","0.5"
"48.4687","0.07"
"48.5817","0.59"
"48.6514","3.03"
"48.706","6.36"
"48.8684","2.86"
"48.937","1.14"
"48.993","0.07"
"49.1696","1.6"
"49.2234","6"
"49.2849","6.36"
"49.4","2.96"
"49.454","0.48"
"49.5404","0.07"
"49.7031","1.71"
"49.7572","6.19"
"49.8115","6.36"
"49.9227","3.88"
"49.9774","1.84"
"50.0307","0.56"
"50.0868","0.07"
"50.2498","1.48"
"50.3042","5.1"
"50.3588","6.36"
"50.4933","3.03"
"50.5568","1.33"
"50.6103","0.07"
"50.7254","0.17"
"50.7931","1.95"
"50.8471","6.36"
"51.0225","4.92"
"51.0759","2.15"
"51.1378","0.74"
"51.1912","0.07"
"51.3215","0.43"
"51.376","2.36"
"51.4296","6.36"
"51.5917","3.1"
"51.6454","1.33"
"51.7013","0.07"
"51.9188","1.54"
"51.9722","5.33"
"52.0282","6.36"
"52.1414","3.55"
"52.2105","1.7"
"52.2665","0.18"
"52.3197","0.07"
"52.4333","0.36"
"52.4953","2.67"
"52.5485","6.36"
"52.7195","3.29"
"52.7732","1.4"
"52.8349","0.07"
"53.0024","1.6"
"53.0654","6.36"
"53.2473","4.49"
"53.3083","2.06"
"53.3618","0.68"
"53.4239","0.07"
"53.532","0.27"
"53.5855","1.94"
"53.6424","6.36"
"53.806","4.57"
"53.8626","2.06"
"53.9159","0.83"
"53.9757","0.07"
"54.1121","1.08"
"54.1654","3.62"
"54.2198","6.36"
"54.3882","3.4"
"54.4487","1.54"
"54.502","0.3"
"54.5642","0.07"
"54.618","0.17"
"54.6793","2.02"
"54.7329","5.82"
"54.7945","6.36"
"54.9294","3.14"
"54.9832","1.42"
"55.0398","0.15"
"55.093","0.07"
"55.2028","0.77"
"55.2588","3.14"
"55.3121","6.36"
"55.4203","6.23"
"55.4748","2.78"
"55.5283","1.19"
"55.5831","0.07"
"55.7456","1.34"
"55.8296","4.83"
"55.8836","6.36"
"55.9988","3.35"
"56.0602","1.41"
"56.1138","0.07"
"56.2891","0.68"
"56.3427","3.34"
"56.4038","6.36"
"56.5867","3"
"56.6583","0.7"
"56.7473","0.07"
"56.8649","0.86"
"56.921","3.72"
"56.9746","6.36"
"57.0886","5.44"
"57.1502","2.23"
"57.2038","0.46"
"57.2764","0.07"
"57.3939","0.3"
"57.4474","2.32"
"57.5145","6.36"
"57.6517","5.17"
"57.7052","2.11"
"57.7597","0.81"
"57.8133","0.07"
"57.9229","0.23"
"57.9793","1.69"
"58.0326","5.63"
"58.0871","6.36"
"58.1973","3.12"
"58.2511","1.27"
"58.3079","0.07"
"58.4775","1.45"
"58.5585","5.42"
"58.6121","6.36"
"58.7239","4.19"
"58.7852","1.81"
"58.8386","0.28"
"58.9099","0.07"
"59.0378","0.86"
"59.0913","3.72"
"59.1532","6.36"
"59.2681","4.77"
"59.3216","1.71"
"59.3801","0.07"
"59.5623","1.44"
"59.6202","4.13"
"59.6735","6.36"
"59.7833","6.27"
"59.838","2.78"
"59.8918","1.35"
"59.9462","0.07"
